id,name,code,country_id
puerto_111,MONTREAL,111,
puerto_112,COSTA DEL PACÍFICO OTROS NO ESPECIFICADOS,112,
puerto_113,HALIFAX,113,
puerto_114,VANCOUVER,114,
puerto_115,SAINT JOHN,115,
puerto_116,TORONTO,116,
puerto_117,OTROS PUERTOS DE CANADÁ NO IDENTIFICADOS,117,
puerto_118,BAYSIDE,118,
puerto_120,PORT CARTIES,120,
puerto_124,QUEBEC,124,
puerto_125,PRINCE RUPERT,125,
puerto_126,HAMILTON,126,
puerto_131,BOSTON,131,
puerto_132,NEW HAVEN,132,
puerto_133,BRIDGEPORT,133,
puerto_134,NEW YORK,134,
puerto_135,FILADELFIA,135,
puerto_136,BALTIMORE,136,
puerto_137,NORFOLK,137,
puerto_139,CHARLESTON,139,
puerto_140,SAVANAH,140,
puerto_141,MIAMI,141,
puerto_121,COSTA DEL ATLÁNTICO OTROS NO ESPECIFICADOS COMPRENDIDOS ENTRE MAINE Y KEY WEST,121,
puerto_151,TAMPA,151,
puerto_152,PENSACOLA,152,
puerto_153,MOBILE,153,
puerto_154,NEW ORLEANS,154,
puerto_155,PORT ARTHUR,155,
puerto_156,GALVESTON,156,
puerto_157,CORPUS CRISTI,157,
puerto_158,BROWNSVILLE,158,
puerto_159,HOUSTON,159,
puerto_122,PUERTOS DEL GOLFO DE MÉXICO OTROS NO ESPECIFICADOS COMPRENDIDOS ENTRE KEY WEST Y BROWNSVILLE,122,
puerto_171,SEATTLE,171,
puerto_172,PORTLAND,172,
puerto_173,SAN FRANCISCO,173,
puerto_174,LOS ANGELES,174,
puerto_175,LONG BEACH,175,
puerto_176,SAN DIEGO,176,
puerto_123,COSTA DEL PACÍFICO OTROS NO ESPECIFICADOS,123,
puerto_142,EVERGLADES,142,
puerto_143,JACKSONVILLE,143,
puerto_145,PALM BEACH,145,
puerto_146,BATON ROUGE,146,
puerto_147,COLUMBRES,147,
puerto_148,PITTSBURGH,148,
puerto_149,DULUTH,149,
puerto_150,MILWAUKEE,150,
puerto_160,OAKLAND,160,
puerto_161,STOCKTON,161,
puerto_180,OTROS PUERTOS DE ESTADOS UNIDOS NO ESPECIFICADOS,180,
puerto_211,TAMPICO,211,
puerto_213,VERACRUZ,213,
puerto_219,GOLFO DE MÉXICO OTROS NO ESPECIFICADOS,219,
puerto_214,COATZACOALCOS,214,
puerto_215,GUAYMAS,215,
puerto_216,MAZATLAN,216,
puerto_217,MANZANILLO,217,
puerto_218,ACAPULCO,218,
puerto_212,COSTA DEL PACÍFICO OTROS PUERTOS,212,
puerto_210,OTROS PUERTOS DE MÉXICO NO ESPECIFICADOS,210,
puerto_220,ALTAMIRA,220,
puerto_NA1,PANAMÁ,NA1,
puerto_221,CRISTOBAL,221,
puerto_222,BALBOA,222,
puerto_223,COLON,223,
puerto_224,OTROS PUERTOS DE PANAMÁ NO ESPECIFICADOS,224,
puerto_NA2,COLOMBIA,NA2,
puerto_232,BUENAVENTURA,232,
puerto_231,OTROS PUERTOS DE COLOMBIA NO ESPECIFICADOS,231,
puerto_233,BARRANQUILLA,233,
puerto_242,GUAYAQUIL,242,
puerto_241,OTROS PUERTOS DE ECUADOR NO ESPECIFICADOS,241,
puerto_252,CALLAO,252,
puerto_253,ILO,253,
puerto_254,IQUITOS,254,
puerto_251,OTROS PUERTOS DE PERÚ NO ESPECIFICADOS,251,
puerto_262,BUENOS AIRES,262,Argentina
puerto_263,NECOCHEA,263,
puerto_264,MENDOZA,264,
puerto_265,CÓRDOBA,265,
puerto_261,OTROS PUERTOS DE ARGENTINA NO ESPECIFICADOS,261,Argentina
puerto_266,BAHIA BLANCA,266,
puerto_267,COMODORO RIVADAVIA,267,
puerto_268,PUERTO MADRYN,268,
puerto_269,MAR DEL PLATA,269,
puerto_270,ROSARIO,270,
puerto_272,MONTEVIDEO,272,
puerto_271,OTROS PUERTOS DE URUGUAY NO ESPECIFICADOS,271,
puerto_282,LA GUAIRA,282,Venezuela
puerto_281,OTROS PUERTOS DE VENEZUELA NO ESPECIFICADOS,281,Venezuela
puerto_285,MARACAIBO,285,Venezuela
puerto_292,SANTOS,292,
puerto_293,RIO DE JANEIRO,293,
puerto_294,RIO GRANDE DEL SUR,294,
puerto_295,PARANAGUA,295,
puerto_296,SAO PAULO,296,
puerto_297,SALVADOR,297,
puerto_291,OTROS PUERTOS DE BRASIL NO ESPECIFICADOS,291,
puerto_NA3,ANTILLAS HOLANDESAS,NA3,
puerto_302,CURAZAO,302,
puerto_301,OTROS PUERTOS DE LAS ANTILLAS HOLANDESAS NO ESPECIFICADOS,301,
puerto_399,OTROS PUERTOS DE AMÉRICA NO ESPECIFICADOS,399,
puerto_411,SHANGAI,411,
puerto_412,DAIREN,412,
puerto_413,OTROS PUERTOS DE CHINA NO ESPECIFICADOS,413,
puerto_421,NANPO,421,
puerto_422,BUSAN CY (PUSAN),422,
puerto_423,OTROS PUERTOS DE COREA NO ESPECIFICADOS,423,
puerto_431,MANILA,431,
puerto_432,OTROS PUERTOS DE FILIPINAS NO ESPECIFICADOS,432,
puerto_442,OSAKA,442,
puerto_443,KOBE,443,
puerto_444,YOKOHAMA,444,
puerto_445,NAGOYA,445,
puerto_446,SHIMIZUI,446,
puerto_447,MOJI,447,
puerto_448,YAWATA,448,
puerto_449,FUKUYAMA,449,
puerto_441,OTROS PUERTOS DE JAPON NO ESPECIFICADOS,441,
puerto_451,KAOHSIUNG,451,
puerto_452,KEELUNG,452,
puerto_453,OTROS PUERTOS DE TAIWAN NO ESPECIFICADOS,453,
puerto_461,KARHG ISLAND,461,
puerto_462,OTROS PUERTOS DE IRAN NO ESPECIFICADOS,462,
puerto_471,CALCUTA,471,
puerto_472,OTROS PUERTOS DE INDIA NO ESPECIFICADOS,472,
puerto_481,CHALNA,481,
puerto_482,OTROS PUERTOS DE BANGLADESH NO ESPECIFICADOS,482,
puerto_492,HONG KONG,492,
puerto_491,OTROS PUERTOS DE SINGAPUR NO ESPECIFICADOS,491,
puerto_499,OTROS PUERTOS ASIÁTICOS NO ESPECIFICADOS,499,
puerto_511,CONSTANZA,511,
puerto_512,OTROS PUERTOS DE RUMANIA NO ESPECIFICADOS,512,
puerto_521,VARNA,521,
puerto_522,OTROS PUERTOS DE BULGARIA NO ESPECIFICADOS,522,
puerto_531,RIJEKA,531,
puerto_532,OTROS PUERTOS DE YUGOESLAVIA NO ESPECIFICADOS,532,
puerto_542,GENOVA,542,
puerto_543,LIORNA LIVORNO,543,
puerto_544,NAPOLES,544,
puerto_545,SALERNO,545,
puerto_546,AUGUSTA,546,
puerto_547,SAVONA,547,
puerto_541,OTROS PUERTOS DE ITALIA NO ESPECIFICADOS,541,
puerto_552,LA PALLICE,552,
puerto_553,LE HAVRE,553,
puerto_554,MARSELLA,554,
puerto_551,OTROS PUERTOS DE FRANCIA NO ESPECIFICADOS,551,
puerto_555,BURDEOS,555,
puerto_556,CALAIS,556,
puerto_557,BREST,557,
puerto_558,RUAN,558,
puerto_562,CADIZ,562,
puerto_563,BARCELONA,563,
puerto_564,BILBAO,564,
puerto_565,HUELVA,565,
puerto_566,SEVILLA,566,
puerto_561,OTROS PUERTOS DE ESPAÑA NO ESPECIFICADOS,561,
puerto_567,TARRAGONA,567,
puerto_571,LIVERPOOL,571,
puerto_572,LONDRES,572,
puerto_573,ROCHESTER,573,
puerto_574,ETEN SALVERRY,574,
puerto_576,OTROS PUERTOS DE INGLATERRA NO ESPECIFICADOS,576,
puerto_577,DOVER,577,
puerto_578,PLYMOUTH,578,
puerto_581,HELSINSKI,581,
puerto_583,HANKO,583,
puerto_584,KEMI,584,
puerto_585,KOKKOLA,585,
puerto_586,KOTKA,586,
puerto_587,OULO,587,
puerto_588,PIETARSAARI,588,
puerto_589,PORI,589,
puerto_582,OTROS PUERTOS DE FINLANDIA NO ESPECIFICADOS,582,
puerto_591,BREMEN,591,
puerto_592,HAMBURGO,592,
puerto_593,NUREMBERG,593,
puerto_594,FRANKFURT,594,
puerto_595,DUSSELDORF,595,
puerto_596,OTROS PUERTOS DE ALEMANIA NO ESPECIFICADOS,596,
puerto_597,CUXHAVEN,597,
puerto_598,ROSTOCK,598,
puerto_599,OLDENBURG,599,
puerto_601,AMBERES,601,
puerto_602,OTROS PUERTOS DE BÉLGICA NO ESPECIFICADOS,602,
puerto_604,GHENT,604,
puerto_605,OOSTENDE,605,
puerto_603,ZEEBRUGGE,603,
puerto_611,LISBOA,611,
puerto_612,OTROS PUERTOS DE PORTUGAL NO ESPECIFICADOS,612,
puerto_613,SETUBAL,613,
puerto_621,AMSTERDAM,621,
puerto_622,ROTTERDAM,622,
puerto_623,OTROS PUERTOS DE HOLANDA NO ESPECIFICADOS,623,
puerto_631,GOTEMBURGO,631,
puerto_633,MALMO,633,
puerto_634,HELSIMBORG,634,
puerto_635,KALMAR,635,
puerto_632,OTROS PUERTOS DE SUECIA NO ESPECIFICADOS,632,
puerto_641,AARHUS,641,
puerto_642,COPENHAGEN,642,
puerto_643,OTROS PUERTOS DE DINAMARCA NO ESPECIFICADOS,643,
puerto_644,AALBORG,644,
puerto_645,ODENSE,645,
puerto_651,OSLO,651,
puerto_652,OTROS PUERTOS DE NORUEGA NO ESPECIFICADOS,652,
puerto_699,OTROS PUERTOS DE EUROPA NO ESPECIFICADOS,699,
puerto_653,STAVANGER,653,
puerto_711,DURBAM,711,
puerto_712,CIUDAD DEL CABO,712,
puerto_713,OTROS PUERTOS DE SUDÁFRICA NO ESPECIFICADOS,713,
puerto_799,OTROS PUERTOS DE ÁFRICA NO ESPECIFICADOS,799,
puerto_714,SALDANHA,714,
puerto_715,PORT-ELIZABETH,715,
puerto_716,MOSSEL-BAY,716,
puerto_717,EAST-LONDON,717,
puerto_811,SIDNEY,811,
puerto_812,FREMANTLE,812,
puerto_814,ADELAIDA,814,
puerto_815,DARWIN,815,
puerto_816,GERALDTON,816,
puerto_813,OTROS PUERTOS DE AUSTRALIA NO ESPECIFICADOS,813,
puerto_899,OTROS PUERTOS DE OCEANÍA NO ESPECIFICADOS,899,
puerto_952,ZONA FRANCA IQUIQUE,952,
puerto_953,ZONA FRANCA PUNTA ARENAS,953,
puerto_901,ARICA,901,Chile
puerto_902,IQUIQUE,902,Chile
puerto_903,ANTOFAGASTA,903,Chile
puerto_904,COQUIMBO,904,
puerto_905,VALPARAÍSO,905,Chile
puerto_906,SAN ANTONIO,906,Chile
puerto_907,TALCAHUANO,907,Chile
puerto_908,SAN VICENTE,908,
puerto_909,LIRQUEN,909,
puerto_910,PUERTO MONTT,910,
puerto_911,CHACABUCO / PUERTO AYSEN,911,
puerto_912,PUNTA ARENAS,912,Chile
puerto_913,PATILLOS,913,
puerto_914,TOCOPILLA,914,
puerto_915,MEJILLONES,915,
puerto_916,TALTAL,916,
puerto_917,CHAÑARAL / BARQUITO,917,
puerto_918,CALDERA,918,
puerto_919,CALDERILLA,919,
puerto_920,HUASCO / GUACOLDA,920,
puerto_921,QUINTERO,921,
puerto_922,JUAN FERNANDEZ,922,
puerto_923,CONSTITUCION,923,
puerto_924,TOME,924,
puerto_925,PENCO,925,
puerto_926,CORONEL,926,
puerto_927,LOTA,927,
puerto_928,LEBU,928,
puerto_929,ISLA DE PASCUA,929,
puerto_930,CORRAL,930,
puerto_931,ANCUD,931,
puerto_932,CASTRO,932,
puerto_933,QUELLÓN,933,
puerto_934,CHAITÉN,934,
puerto_935,TORTEL,935,
puerto_936,NATALES,936,
puerto_937,GUARELLO,937,
puerto_938,CUTTER COVE,938,
puerto_939,PERCY,939,
puerto_940,CLARENCIA,940,
puerto_941,GREGORIO,941,
puerto_942,CABO NEGRO,942,
puerto_943,PUERTO WILLIAMS,943,
puerto_944,TERRITORIO ANTÁRTICO CHILENO,944,
puerto_945,SALINAS,945,
puerto_946,GUAYACAN,946,
puerto_947,PUNTA DELGADA,947,
puerto_948,VENTANAS,948,
puerto_949,MUELLE PUNTA DE CHUNGO,949,
puerto_950,CALETA COLOSO,950,
puerto_997,OTROS PUERTOS CHILENOS,997,
puerto_900,RANCHO DE NAVES Y AERONAVES DE TRANSPORTE INTERNACIONAL,900,
puerto_900,COMBUSTIBLES Y LUBRICANTES DESTINADOS AL CONSUMO DE NAVES Y AERONAVES DE TRANSPORTE INTERNACIONAL,900,
puerto_956,VISVIRI,956,
puerto_957,CHACALLUTA,957,
puerto_958,CHUNGARÁ,958,
puerto_959,COLCHANE,959,
puerto_960,ABRA DE NAPA,960,
puerto_961,OLLAGUE,961,
puerto_962,SAN PEDRO DE ATACAMA,962,
puerto_963,SOCOMPA,963,
puerto_964,SAN FRANCISCO,964,
puerto_951,AGUAS NEGRAS,951,
puerto_965,LOS LIBERTADORES,965,
puerto_966,MAHUIL MALAL,966,
puerto_967,CARDENAL SAMORE,967,
puerto_968,PEREZ ROSALES,968,
puerto_969,FUTALEUFU,969,
puerto_970,PALENA CARRENLEUFU,970,
puerto_971,PANGUIPULLI,971,
puerto_972,HUAHUM,972,
puerto_973,LAGO VERDE,973,
puerto_974,APPELEG,974,
puerto_975,PAMPA ALTA,975,
puerto_976,HUEMULES,976,
puerto_977,CHILE CHICO,977,
puerto_978,BAKER,978,
puerto_979,DOROTEA,979,
puerto_980,CASAS VIEJAS,980,
puerto_981,MONTE AYMOND,981,
puerto_982,SAN SEBASTIAN,982,
puerto_983,COYHAIQUE ALTO,983,
puerto_984,TRIANA,984,
puerto_985,IBAÑEZ PALAVICINI,985,
puerto_986,VILLA O'HIGGINS,986,
puerto_954,RÍO MAYER,954,
puerto_955,RÍO MOSCO,955,
puerto_949,PINO HACHADO (LIUCURA),949,
puerto_987,AEROP. CHACALLUTA,987,
puerto_988,AEROP. DIEGO ARACENA,988,
puerto_989,AEROP. CERRO MORENO,989,
puerto_990,AEROP. EL TEPUAL,990,
puerto_991,AEROP. C.I. DEL CAMPO,991,
puerto_992,AEROP. A.M. BENITEZ,992,
puerto_994,ARICA-TACNA,994,
puerto_995,ARICA-LA PAZ,995,
